n,part,section,page,label,ml_incipit,audio_time,audio_track,audio_method
52,Part I,Madame Swann at Home,261,Pt I · p.261 — Madame Swann at Home,"The one thing that mattered, my relations",9:06:42,8,para/matched(99)
53,Part I,Madame Swann at Home,266,Pt I · p.266 — Madame Swann at Home,"When one abandons love, one seeks not",9:17:31,8,para/matched(100)
54,Part I,Madame Swann at Home,272,Pt I · p.272 — Madame Swann at Home,"Odette, who on the other hand sought",9:28:35,8,para/matched(98)
55,Part I,Madame Swann at Home,277,Pt I · p.277 — Madame Swann at Home,I have special instructions from Gilbert that,9:39:18,8,para/matched(87)
56,Part I,Madame Swann at Home,281,Pt I · p.281 — Madame Swann at Home,"In my case, however, the material means",9:50:00,8,para/matched(100)
57,Part I,Madame Swann at Home,287,Pt I · p.287 — Madame Swann at Home,The cruel memory is not itself contemporary,10:01:33,9,para/matched(100)
58,Part I,Madame Swann at Home,291,Pt I · p.291 — Madame Swann at Home,"In the first place because, among those",10:12:10,9,para/matched(100)
59,Part I,Madame Swann at Home,297,Pt I · p.297 — Madame Swann at Home,And the whole truth about these glacial,10:22:41,9,para/matched(100)
60,Part I,Madame Swann at Home,302,Pt I · p.302 — Madame Swann at Home,"For, if it should happen that feeling",10:33:26,9,para/matched(98)
61,Part I,Place-Names: The Place,308,Pt I · p.308 — Place-Names,"Now, seeing that as yet I knew",10:46:10,9,para/matched(98)
62,Part I,Place-Names: The Place,313,Pt I · p.313 — Place-Names (Balbec),"My grandmother, naturally enough, looked upon our",10:57:05,9,para/matched(96)
63,Part I,Place-Names: The Place,318,Pt I · p.318 — Place-Names,"Francois, in the cherry -coloured cloth now",11:07:00,9,para/matched(98)
64,Part I,Place-Names: The Place,323,Pt I · p.323 — Place-Names,It is a mistake to let oneself,11:17:58,10,para/matched(100)
65,Part I,Place-Names: The Place,328,Pt I · p.328 — Place-Names,"My habits, which were sedentary and not",11:28:48,10,para/matched(100)
66,Part I,Place-Names: The Place,333,Pt I · p.333 — Place-Names,"So my mind, which had exalted the",11:39:01,10,para/matched(97)
67,Part I,Place-Names: The Place,339,Pt I · p.339 — Place-Names,My sense of loneliness was further increased,11:52:45,10,para/matched(98)
68,Part I,Place-Names: The Place,344,Pt I · p.344 — Place-Names,She was wearing a loose Cambric gown,12:03:17,10,para/matched(100)
69,Part I,Place-Names: The Place,349,Pt I · p.349 — Place-Names,It is true that these new friendships,12:13:39,10,para/matched(100)
70,Part I,Place-Names: The Place,354,Pt I · p.354 — Place-Names,"I was not yet old enough, I",12:24:42,10,para/matched(100)
71,Part I,Place-Names: The Place,359,Pt I · p.359 — Place-Names,But they had succeeded in convincing themselves,12:34:39,10,para/matched(100)
72,Part I,Place-Names: The Place,364,Pt I · p.364 — Place-Names,At that hour one could see the,12:46:06,11,para/matched(100)
73,Part I,Place-Names: The Place,369,Pt I · p.369 — Place-Names (Mme de Villeparisis),Thus it happened that in the first,12:55:53,11,para/matched(100)
74,Part I,Place-Names: The Place,375,Pt I · p.375 — Place-Names,And crowned by a feather that was,13:08:20,11,para/matched(100)
75,Part I,Place-Names: The Place,380,Pt I · p.380 — Place-Names,"But towards her own acquaintance, that is",13:18:02,11,para/matched(100)
76,Part I,Place-Names: The Place,385,Pt I · p.385 — Place-Names,"Francoise, following the common tendency of servants,",13:28:27,11,para/matched(100)
77,Part I,Place-Names: The Place,390,Pt I · p.390 — Place-Names,"Meanwhile, the Princess de Luxembourg had given",13:38:49,11,para/matched(100)
78,Part I,Place-Names: The Place,395,Pt I · p.395 — Place-Names,Yes. I made a mistake on purpose.,13:49:15,11,para/matched(100)
79,Part II,Place-Names: The Place,5,Pt II · p.5 — Place-Names,"At last, Madame de Villeparisis appeared. To",14:00:52,12,para/matched(98)
80,Part II,Place-Names: The Place,10,Pt II · p.10 — Place-Names,"Madame de Villeparisis questioned me about Chateaubriand,",14:11:12,12,para/matched(100)
81,Part II,Place-Names: The Place,15,Pt II · p.15 — Place-Names,Some years after that in which I,14:21:56,12,para/matched(100)
82,Part II,Place-Names: The Place,20,Pt II · p.20 — Place-Names,"We came down towards Udiménil. Suddenly, I",14:32:51,12,para/matched(94)
83,Part II,Place-Names: The Place,26,Pt II · p.26 — Place-Names,Timidly I would quote to Madame Villeparisis,14:45:52,12,para/matched(92)
84,Part II,Place-Names: The Place,31,Pt II · p.31 — Place-Names,"Here you are Cyrus, he said to",14:56:44,12,para/matched(100)
85,Part II,Place-Names: The Place,35,Pt II · p.35 — Place-Names,We dared not look one another in,15:04:38,12,para/matched(100)
86,Part II,Place-Names: The Place,41,Pt II · p.41 — Place-Names,After I had seen him repeat the,15:17:51,13,para/matched(98)
87,Part II,Place-Names: The Place,46,Pt II · p.46 — Place-Names,"And he showed in forestalling every discomfort,",15:28:31,13,para/matched(100)
88,Part II,Place-Names: The Place,51,Pt II · p.51 — Place-Names,Baalbek was in this respect like such,15:38:32,13,para/matched(100)
89,Part II,Place-Names: The Place,56,Pt II · p.56 — Place-Names,Each of our friends has his defect,15:49:57,13,para/matched(99)
90,Part II,Place-Names: The Place,61,Pt II · p.61 — Place-Names,I did indeed not believe him. And,16:01:08,13,para/matched(100)
91,Part II,Place-Names: The Place,66,Pt II · p.66 — Place-Names (Saint-Loup),Saint -Loup told me that even in,16:11:51,13,para/matched(100)
92,Part II,Place-Names: The Place,71,Pt II · p.71 — Place-Names,I saw that he had changed his,16:22:53,13,para/matched(100)
93,Part II,Place-Names: The Place,76,Pt II · p.76 — Place-Names (M. de Charlus),"And yet, This had not been sacrificed",16:33:08,13,para/matched(98)
94,Part II,Place-Names: The Place,81,Pt II · p.81 — Place-Names,Not a sound. Not a movement betrayed,16:44:09,14,para/matched(100)
95,Part II,Place-Names: The Place,87,Pt II · p.87 — Place-Names,It reminds me of a room in,16:57:14,14,para/matched(98)
96,Part II,Place-Names: The Place,92,Pt II · p.92 — Place-Names,And of all that we will remember,17:08:20,14,para/matched(91)
97,Part II,Place-Names: The Place,98,Pt II · p.98 — Place-Names,"Seascape. With frieze of girls. That day,",17:21:21,15,para/matched(98)
98,Part II,"Seascape, with Frieze of Girls",121,⚠ Pt II pp.99–120 not in this recording — audio resumes p.121,,17:21:26,15,gap
99,Part II,"Seascape, with Frieze of Girls",125,Pt II · p.125 — Seascape,It was not perhaps in this life,17:30:00,15,para/matched(100)
100,Part II,"Seascape, with Frieze of Girls",131,Pt II · p.131 — Seascape,"A sorrowful desire, because I felt that",17:42:06,15,para/matched(100)
101,Part II,"Seascape, with Frieze of Girls",136,Pt II · p.136 — Seascape (Rivebelle),"But in that case, I could blame",17:52:50,15,para/matched(98)
102,Part II,"Seascape, with Frieze of Girls",141,Pt II · p.141 — Seascape,"I stepped out of the lift, but",18:04:45,15,para/matched(100)
103,Part II,"Seascape, with Frieze of Girls",146,Pt II · p.146 — Seascape,"And sometimes, to a sea and sky",18:14:55,15,para/matched(95)
104,Part II,"Seascape, with Frieze of Girls",151,Pt II · p.151 — Seascape,As though there were never to be,18:25:28,15,para/matched(100)
105,Part II,"Seascape, with Frieze of Girls",156,Pt II · p.156 — Seascape,This restaurant was the resort not only,18:36:17,16,para/matched(100)
106,Part II,"Seascape, with Frieze of Girls",161,Pt II · p.161 — Seascape,Nothing is left now but appearances. Nothing,18:46:26,16,para/matched(100)
107,Part II,"Seascape, with Frieze of Girls",166,Pt II · p.166 — Seascape,Rendered more vagabond by the difficulty of,18:57:38,16,para/matched(100)
108,Part II,"Seascape, with Frieze of Girls",171,Pt II · p.171 — Seascape,In an old photograph of themselves which,19:07:58,16,para/matched(100)
109,Part II,"Seascape, with Frieze of Girls",176,Pt II · p.176 — Seascape (Elstir),"Elstyr, meanwhile, was reaching the door when",19:18:19,16,para/matched(100)
110,Part II,"Seascape, with Frieze of Girls",182,Pt II · p.182 — Seascape,Remembering that I had not yet seen,19:30:59,16,para/matched(98)
111,Part II,"Seascape, with Frieze of Girls",187,Pt II · p.187 — Seascape,Sometimes in my window in the hotel,19:41:30,16,para/matched(100)
112,Part II,"Seascape, with Frieze of Girls",192,Pt II · p.192 — Seascape,The continuity of the ocean was suggested,19:52:19,17,para/matched(100)
113,Part II,"Seascape, with Frieze of Girls",197,Pt II · p.197 — Seascape,And he did indeed show me later,20:02:48,17,para/matched(98)
114,Part II,"Seascape, with Frieze of Girls",202,Pt II · p.202 — Seascape,I am convinced that it is Albertine,20:13:38,17,para/matched(100)
115,Part II,"Seascape, with Frieze of Girls",207,Pt II · p.207 — Seascape,The dreamy sadness in the expression of,20:23:30,17,para/matched(95)
116,Part II,"Seascape, with Frieze of Girls",212,Pt II · p.212 — Seascape,"One is that if, while only my",20:34:48,17,para/matched(92)
117,Part II,"Seascape, with Frieze of Girls",217,Pt II · p.217 — Seascape,So our eyes were for a moment,20:45:59,17,para/matched(100)
118,Part II,"Seascape, with Frieze of Girls",223,Pt II · p.223 — Seascape,The portrait was indeed that of Odette,20:58:33,17,para/matched(100)
119,Part II,"Seascape, with Frieze of Girls",228,Pt II · p.228 — Seascape,"But they are poor creatures, feeble descendants",21:10:06,18,para/matched(100)
120,Part II,"Seascape, with Frieze of Girls",233,Pt II · p.233 — Seascape,"The weak must not, to hear him",21:20:37,18,para/matched(100)
121,Part II,"Seascape, with Frieze of Girls",238,Pt II · p.238 — Seascape,But is it not ever thus in,21:31:38,18,para/matched(100)
122,Part II,"Seascape, with Frieze of Girls",243,Pt II · p.243 — Seascape,"But this picture, I had the impression",21:41:35,18,para/matched(100)
123,Part II,"Seascape, with Frieze of Girls",248,Pt II · p.248 — Seascape (Andrée),But your friends will be disappointed if,21:52:18,18,para/matched(100)
124,Part II,"Seascape, with Frieze of Girls",253,Pt II · p.253 — Seascape,"I had thought, a few hours before,",22:03:12,18,para/matched(96)
125,Part II,"Seascape, with Frieze of Girls",258,Pt II · p.258 — Seascape,The truth was Though as yet it,22:13:18,18,para/matched(100)
126,Part II,"Seascape, with Frieze of Girls",263,Pt II · p.263 — Seascape,Are the rest of your friends going,22:22:46,18,para/matched(90)
127,Part II,"Seascape, with Frieze of Girls",304,⚠ Pt II pp.267–303 not in this recording — audio resumes p.304,,22:31:38,19,gap
128,Part II,"Seascape, with Frieze of Girls",305,Pt II · p.305 — Seascape,Not that I had never seen prettier,22:33:38,19,para/fill(85)
129,Part II,"Seascape, with Frieze of Girls",310,Pt II · p.310 — Seascape,"Yes, I know all that they leave",22:44:18,19,para/fill(98)
130,Part II,"Seascape, with Frieze of Girls",315,Pt II · p.315 — Seascape,My room seemed to me to have,22:54:28,19,para/fill(100)
131,Part II,"Seascape, with Frieze of Girls",320,Pt II · p.320 — Seascape,About a month after the day on,23:05:17,19,para/fill(95)
132,Part II,"Seascape, with Frieze of Girls",325,Pt II · p.325 — Seascape,Her cheek was crossed obliquely by one,23:16:12,19,para/fill(100)
133,Part II,"Seascape, with Frieze of Girls",330,Pt II · p.330 — Seascape,She then recovered her serenity and she,23:26:33,19,para/fill(88)
134,Part II,"Seascape, with Frieze of Girls",335,Pt II · p.335 — Seascape,But it was not sufficient for him,23:36:38,19,para/fill(95)
135,Part II,"Seascape, with Frieze of Girls",340,Pt II · p.340 — Seascape,I had thought that first day that,23:46:48,19,para/fill(100)
136,Part II,"Seascape, with Frieze of Girls",346,Pt II · p.346 — Seascape,It was perhaps because they were so,23:59:42,20,para/fill(100)
137,Part II,"Seascape, with Frieze of Girls",351,Pt II · p.351 — Seascape,This view was not shared by the,24:10:48,20,para/fill(100)
138,Part II,"Seascape, with Frieze of Girls",356,Pt II · p.356 — Seascape,I grew impatient because no one had,24:20:44,20,para/fill(100)
